Order ID,Employee ID,Customer ID,Order Date,Shipped Date,Shipper ID,Ship Name,Ship Address,Ship City,Ship State/Province,Ship ZIP/Postal Code,Ship Country/Region,Shipping Fee,Taxes,Payment Type,Paid Date,Notes,Tax Rate,Tax Status,Status ID,employee_email,Order Summary,OrderSummary
30,9,27,1/15/2006 0:00,1/22/2006 0:00,2,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,1/15/2006 0:00,,0,,3,anne@northwindtraders.com,1505,1505
31,3,4,1/20/2006 0:00,1/22/2006 0:00,1,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,1/20/2006 0:00,,0,,3,jan@northwindtraders.com,865,865
32,4,12,1/22/2006 0:00,1/22/2006 0:00,2,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,1/22/2006 0:00,,0,,3,mariya@northwindtraders.com,1190,1190
33,6,8,1/30/2006 0:00,1/31/2006 0:00,3,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,1/30/2006 0:00,,0,,3,michael@northwindtraders.com,276,276
34,9,4,2/6/2006 0:00,2/7/2006 0:00,3,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2/6/2006 0:00,,0,,3,anne@northwindtraders.com,184,184
35,3,29,2/10/2006 0:00,2/12/2006 0:00,2,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2/10/2006 0:00,,0,,3,jan@northwindtraders.com,127.5,127.5
36,4,3,2/23/2006 0:00,2/25/2006 0:00,2,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,7,0,Cash,2/23/2006 0:00,,0,,3,mariya@northwindtraders.com,1930,1930
37,8,6,3/6/2006 0:00,3/9/2006 0:00,2,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,3/6/2006 0:00,,0,,3,laura@northwindtraders.com,680,680
38,9,28,3/10/2006 0:00,3/11/2006 0:00,3,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,3/10/2006 0:00,,0,,3,anne@northwindtraders.com,13800,13800
39,3,8,3/22/2006 0:00,3/24/2006 0:00,3,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,5,0,Check,3/22/2006 0:00,,0,,3,jan@northwindtraders.com,1275,1275
40,4,10,3/24/2006 0:00,3/24/2006 0:00,2,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,9,0,Credit Card,3/24/2006 0:00,,0,,3,mariya@northwindtraders.com,598,598
41,1,7,3/24/2006 0:00,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,0,0,,,,0,,0,nancy@northwindtraders.com,13800,13800
42,1,10,3/24/2006 0:00,4/7/2006 0:00,1,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,,,,0,,2,nancy@northwindtraders.com,562,562
43,1,11,3/24/2006 0:00,,3,Peter Krschne,123 11th Street,Miami,FL,99999,USA,0,0,,,,0,,0,nancy@northwindtraders.com,219.5,219.5
44,1,1,3/24/2006 0:00,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,0,0,,,,0,,0,nancy@northwindtraders.com,1674.75,1674.75
45,1,28,4/7/2006 0:00,4/7/2006 0:00,3,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,40,0,Credit Card,4/7/2006 0:00,,0,,3,nancy@northwindtraders.com,1402.5,1402.5
46,7,9,4/5/2006 0:00,4/5/2006 0:00,1,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,100,0,Check,4/5/2006 0:00,,0,,3,robert@northwindtraders.com,3690,3690
47,6,6,4/8/2006 0:00,4/8/2006 0:00,2,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,300,0,Credit Card,4/8/2006 0:00,,0,,3,michael@northwindtraders.com,4200,4200
48,4,8,4/5/2006 0:00,4/5/2006 0:00,2,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Check,4/5/2006 0:00,,0,,3,mariya@northwindtraders.com,1230,1230
50,9,25,4/5/2006 0:00,4/5/2006 0:00,1,John Rodman,789 25th Street,Chicago,IL,99999,USA,5,0,Cash,4/5/2006 0:00,,0,,3,anne@northwindtraders.com,200,200
51,9,26,4/5/2006 0:00,4/5/2006 0:00,3,Run Liu,789 26th Street,Miami,FL,99999,USA,60,0,Credit Card,4/5/2006 0:00,,0,,3,anne@northwindtraders.com,1375.25,1375.25
55,1,29,4/5/2006 0:00,4/5/2006 0:00,2,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,200,0,Check,4/5/2006 0:00,,0,,3,nancy@northwindtraders.com,1218,1218
